,teams,1_star,X_star,2_star,under_star,goals_star,over_star
539,Wisla Plock  Piast Gliwice,2.35,3.35,2.90,1.87,2.5,1.95
540,Gornik Zabrze  Zaglebie Lubin,2.15,3.45,3.20,1.95,2.5,1.87
541,Lech P.  Legia,1.91,3.50,3.85,1.88,2.5,1.93
542,Pogon Szczecin  Lechia Gdansk,1.75,3.80,4.50,2.09,2.5,1.75
543,Miedz Legnica  Stal Mielec,2.00,3.55,3.55,2.00,2.5,1.85
544,Jagiellonia B.  Korona Kielce,1.60,3.90,5.35,1.98,2.5,1.85
545,Widzew Lodz  Rakow Cz.,4.75,3.75,1.70,1.94,2.5,1.87
546,Slask Wroclaw  Warta Poznan,2.35,3.15,3.10,1.66,2.5,2.24
547,Utakmica,1,X,2,,2.5,i
548,Dundalk  Drogheda Utd,1.39,4.55,7.50,2.07,2.5,1.77
549,St. Patrick's  Derry City,2.85,3.35,2.40,1.81,2.5,2.02
550,Bohemians D.  UCD,1.36,4.70,8.25,2.09,2.5,1.75
551,Finn Harps  Shelbourne,2.80,3.25,2.50,1.71,2.5,2.16
552,Sligo Rovers  Shamrock,3.95,3.45,1.91,1.76,2.5,2.07
553,Utakmica,1,X,2,,2.5,i
554,Treaty United  Galway FC,4.80,3.45,1.66,1.85,2.5,1.82
555,Athlone Town  Longford Town,4.80,3.85,1.59,2.30,2.5,1.52
556,Waterford FC  Cobh Ramblers,1.22,5.60,10.3,0,2.5,1.36
557,Wexford FC  Bray Wanderers,1.82,3.40,3.90,1.97,2.5,1.72
558,Utakmica,1,X,2,,2.5,i
559,Concordia Chiajna  Universitatea Cluj,3.50,2.85,2.04,1.39,2.5,2.55
560,Viitorul Tg. Jiu  Dinamo Bucuresti,3.00,3.15,2.25,1.65,2.5,2.05
561,Utakmica,1,X,2,,2.5,i
562,Spartak M.  Zenit,4.10,3.80,1.75,2.16,2.5,1.67
563,Utakmica,1,X,2,,2.5,i
564,Novi Pazar  Mladost Lučani,1.40,4.20,6.25,1.99,2.5,1.67
565,TSC Bačka Topola  Radnik Surdulica,1.38,4.30,6.50,2.03,2.5,1.64
566,Javor Ivanjica  Voždovac,2.30,3.35,2.70,1.92,2.5,1.73
567,Napredak Krusevac  Kolubara,2.07,3.30,3.10,1.78,2.5,1.85
568,Spartak Subotica  Radnicki 1923,2.40,3.05,2.75,1.58,2.5,2.15
569,Partizan  Vojvodina,1.41,4.10,6.25,1.90,2.5,1.74
570,Čukarički  Radnički Niš,1.55,3.85,5.00,1.96,2.5,1.69
