,teams,1_star,X_star,2_star,under_star,goals_star,over_star
257,Excelsior Virton  Club Brugge U23,2.22,3.45,3.00,2.01,2.5,1.75
258,Lommel  RWD Molenbeek,2.60,3.40,2.45,1.97,2.5,1.75
259,Beerschot Wilrijk  Deinze,1.91,3.60,3.50,2.13,2.5,1.64
260,Waasland-Beveren  Lierse,2.14,3.60,2.90,2.35,2.5,1.54
261,Standard Liege U23  Anderlecht U23,2.75,3.50,2.30,2.17,2.5,1.61
262,Utakmica,1,X,2,,2.5,i
263,Sporting L.  Gil Vicente,1.31,4.95,9.75,2.25,2.5,1.65
264,Porto  Braga,1.75,3.70,4.60,2.12,2.5,1.73
265,Vizela  Portimonense,2.21,3.15,3.50,1.71,2.5,2.16
266,Chaves  Estoril,2.35,3.10,3.25,1.68,2.5,2.19
267,Guimaraes  Benfica,8.00,4.40,1.42,2.10,2.5,1.74
268,Rio Ave  Santa Clara,2.50,3.00,3.10,1.62,2.5,2.30
269,P. Ferreira  Arouca,2.35,3.10,3.30,1.67,2.5,2.22
270,Famalicao  Boavista,2.30,3.05,3.40,1.64,2.5,2.30
271,Maritimo  Casa Pia,2.85,3.10,2.60,1.63,2.5,2.30
272,Utakmica,1,X,2,,2.5,i
273,A. Lustenau  Wolfsberger AC,3.30,3.60,2.05,2.25,2.5,1.65
274,WSG Swarowski Tirol  Rapid Wien,2.90,3.50,2.35,2.17,2.5,1.70
275,Salzburg  LASK Linz,1.55,4.20,5.45,2.40,2.5,1.57
276,Hartberg  Austria Klagenfurt,2.85,3.50,2.40,2.16,2.5,1.70
277,Ried  Altach,1.95,3.45,3.80,1.91,2.5,1.90
278,Austria W.  Sturm Graz,2.70,3.40,2.50,2.02,2.5,1.80
279,Utakmica,1,X,2,,2.5,i
280,First Vienna  Kapfenberg,1.42,4.50,6.25,2.40,2.5,1.50
281,Vorwarts Steyr  Horn,3.10,3.45,2.15,2.10,2.5,1.68
282,Dornbirn  Austria W. II,2.35,3.60,2.60,2.30,2.5,1.55
283,St. Polten  Amstetten,2.05,3.55,3.35,2.09,2.5,1.75
284,Grazer AK  Sturm Graz Am.,2.19,3.45,3.10,2.16,2.5,1.71
285,Admira  Liefering,1.79,3.75,4.00,2.16,2.5,1.65
286,Rapid Am.  Lafnitz,2.90,3.55,2.25,2.21,2.5,1.67
287,Floridsdorfer AC  Blau Weis Linz,3.35,3.40,2.05,1.98,2.5,1.77
288,Utakmica,1,X,2,,2.5,i
289,Deutschlandsberger  Bad Gleichenberg,1.95,3.85,3.00,2.55,2.5,1.42
290,SAK Klagenfurt  Union Gurten,6.25,4.65,1.32,2.45,2.5,1.43
291,Kalsdorf  Treibach Al.,2.14,3.75,2.55,2.60,2.5,1.38
292,Weiz  Gleisdorf,3.35,3.65,1.87,2.20,2.5,1.55
293,Un. Vocklamarkt  WSC Herta Wels,5.95,4.65,1.38,2.60,2.5,1.40
294,Utakmica,1,X,2,,2.5,i
295,Drassburg  Kremser SC,1.94,3.60,2.80,2.35,2.5,1.46
296,Traiskirchen  ASK Elektra,2.75,3.50,2.20,2.24,2.5,1.53
297,Wiener SK  Mauerwerk,1.59,3.90,4.15,2.22,2.5,1.51
298,Neusiedl  Wiener Viktoria,2.04,3.50,3.05,2.17,2.5,1.57
299,SC Wiener Neustadter  Marchfeld,4.00,3.80,1.57,2.25,2.5,1.50
300,Utakmica,1,X,2,,2.5,i
301,Basel  St. Gallen,2.05,3.70,3.25,2.50,2.5,1.55
302,Grasshoppers  Zurich,2.85,3.55,2.30,2.30,2.5,1.62
303,Sion  Winterthur,1.77,3.70,4.30,2.13,2.5,1.72
304,Lugano  Servette,2.40,3.45,2.75,2.18,2.5,1.69
305,Luzern  Young Boys,3.60,3.75,1.92,2.50,2.5,1.56
306,Utakmica,1,X,2,,2.5,i
307,Yverdon  Aarau,2.65,3.75,2.25,2.55,2.5,1.45
308,Lausanne  Wil,1.65,4.15,4.30,2.55,2.5,1.48
