,1_soc,X_soc,2_soc,under_soc,goals_soc,over_soc,teams_matched,1_adm,X_adm,2_adm,under_adm,goals_adm,over_adm,teams_matched2,score,Unnamed: 0,teams,1_star,X_star,2_star,under_star,goals_star,over_star
24,2.75,3.15,2.45,1.7,2.5,2.02,Buchbach Pipinsried,2.8,3.15,2.4,1.67,2.5,2.07,Buchbach  FC Pipinsried,93,294,Buchbach  FC Pipinsried,2.75,3.10,2.4,1.63,2.5,2.11
25,2.5,3.5,2.5,2.35,2.5,1.52,Burghausen TSV Aubstadt,2.4,3.5,2.55,2.4,2.5,1.5,Burghausen  TSV Aubstadt,100,295,Burghausen  TSV Aubstadt,2.25,3.60,2.65,2.35,2.5,1.51
26,7.0,5.4,1.32,3.1,2.5,1.32,Heimstetten Wurzburger Kickers,6.7,5.2,1.34,3.35,2.5,1.28,Heimstetten  Wurzburger Kickers,100,296,Heimstetten  Wurzburger Kickers,6.50,4.95,1.34,3.0,2.5,1.32
27,3.2,3.7,2.0,2.3,2.5,1.55,Illertissen Nurnberg 2,3.1,3.65,2.04,2.4,2.5,1.51,Illertissen  Nurnberg II,93,297,Illertissen  Nurnberg II,3.30,3.70,1.92,2.35,2.5,1.51
28,1.6,4.0,4.7,2.42,2.5,1.5,Schweinfurt Eichstatt,1.61,4.05,4.55,2.55,2.5,1.45,Schweinfurt  Eichstätt,98,291,Schweinfurt  Eichstätt,1.59,4.05,4.5,2.5,2.5,1.45
29,2.1,3.5,3.35,1.95,2.5,1.77,Aue Meppen,2.2,3.3,3.2,1.92,2.5,1.8,Aue  Meppen,100,278,Aue  Meppen,2.00,3.50,3.4,1.96,2.5,1.79
30,1.88,3.75,3.2,2.55,2.5,1.45,Wiener Sport Club Mauerwerk,1.92,3.8,3.25,2.55,2.5,1.46,Wiener SK  Mauerwerk,78,511,Wiener SK  Mauerwerk,1.71,3.85,3.5,2.45,2.5,1.43
31,2.7,3.3,2.3,1.97,2.5,1.75,Traiskirchen TWL Elektra,2.75,3.15,2.45,1.9,2.5,1.8,Traiskirchen  ASK Elektra,83,510,Traiskirchen  ASK Elektra,2.75,3.30,2.25,1.94,2.5,1.71
32,11.1,5.9,1.18,2.85,2.5,1.37,Vocklamarkt WSC Wels,15.0,6.8,1.14,3.0,2.5,1.33,Un. Vocklamarkt  WSC Herta Wels,82,505,Un. Vocklamarkt  WSC Herta Wels,9.75,5.80,1.2,5.0,2.5,1.38
33,1.8,4.1,3.5,2.85,2.5,1.37,VV Alkmaar W Excelsior W,1.75,4.15,3.6,2.9,2.5,1.36,VV Alkmaar (W)  Excelsior (W),100,450,VV Alkmaar (W)  Excelsior (W),1.79,4.10,3.35,3.05,2.5,1.32
