,teams,1_max,X_max,2_max,under_max,goals_max,over_max
135,Vendsyssel FF  Helsingor,2.80,3.30,2.30,2.05,2.5,1.63
136,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
137,Aarhus F.  Skive,1.65,3.70,4.25,2.20,2.5,1.55
138,Kolding  Frem,1.50,3.70,5.75,2.10,2.5,1.60
139,Roskilde  Esbjerg,3.85,4.00,1.65,2.60,2.5,1.40
140,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
141,Ishoj IF  Middelfart,3.80,3.80,1.70,2.45,2.5,1.45
142,Lyseng  AB Tarnby,2.40,3.45,2.45,2.20,2.5,1.53
143,Naesby  Vanlose,2.50,3.10,2.55,1.90,2.5,1.75
144,SfBOure  FA 2000,6.40,4.70,1.35,2.80,2.5,1.33
145,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
146,Nordsjaelland W  Aarhus W,1.48,4.00,5.60,2.35,2.5,1.48
147,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
148,Gualaceo  Un.Catolica,4.40,3.45,1.75,1.85,2.5,1.85
149,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
150,Hull City  Luton,3.10,3.15,2.45,1.68,2.5,2.20
151,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
152,Mansfield  Hartlepool,1.42,4.40,7.50,1.95,2.5,1.83
153,Harrogate  Bradford City,3.20,3.30,2.25,1.85,2.5,1.93
154,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
155,Enfield Town  CorinthianC.,1.48,4.20,5.50,2.38,2.5,1.53
156,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
157,Aston Villa U21  West Brom U21,1.93,3.80,3.05,3.20,2.5,1.27
158,Middlesbrough U21  Newcastle Utd U21,1.70,4.15,3.50,3.30,2.5,1.25
159,Brighton U21  Tottenham U21,1.95,3.45,3.25,2.70,2.5,1.38
160,Norwich U21  Derby U21,1.45,4.55,4.80,3.60,2.5,1.21
161,Fulham U21  Everton U21,1.80,3.80,3.40,2.50,2.5,1.42
162,Leeds U21  Stoke City U21,1.42,4.60,5.35,3.35,2.5,1.25
163,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
164,Needham  Brightlingsea,2.15,3.80,2.95,2.75,2.5,1.40
165,Congleton  AFC Fylde,12.5,6.40,1.20,3.50,2.5,1.26
166,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
167,Tallinna Kalev  Parnu JK Vaprus,1.88,3.90,3.40,2.60,2.5,1.42
168,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
169,Tulevik  Paide LM U21,5.25,4.70,1.42,3.60,2.5,1.21
170,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
171,Bahir Dar Kenema  Mebrat Hail,1.85,2.85,4.05,1.40,2.5,2.55
172,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
173,TPS  KPV Kokkola,1.22,6.00,12.0,2.50,2.5,1.48
174,JaPS  Jaro,4.25,4.10,1.70,2.70,2.5,1.42
175,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
176,PIF Pargas  SJK Akatemia,4.40,3.85,1.70,2.35,2.5,1.55
177,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
178,Atlantis  PeKa,1.45,4.65,4.95,3.85,2.5,1.19
179,Futura  PPJ,2.55,3.80,2.20,3.45,2.5,1.23
180,JIPPO  KaPa,2.00,3.45,3.05,2.20,2.5,1.55
181,Kiffen  KeskiUusimaa,1.53,4.25,4.60,2.95,2.5,1.31
182,KuPS Akatemia  L.Reipas,5.25,4.45,1.45,2.95,2.5,1.32
183,LaPa  NJS,9.00,6.40,1.22,4.40,2.5,1.17
184,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
185,GrIFK  FC Jazz,2.30,3.95,2.35,3.60,2.5,1.22
186,HJS Akatemia  Ilves 2,2.25,3.75,2.50,3.15,2.5,1.27
187,IlvesKissat  VJS,2.00,4.00,2.80,3.80,2.5,1.19
188,Kaapo  Klubi 04,9.75,6.50,1.20,4.05,2.5,1.18
189,MuSa  SalPa,4.60,3.95,1.55,2.55,2.5,1.40
190,Tampere Utd  EPS,2.35,3.65,2.45,2.50,2.5,1.42
191,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
192,GBK K.  Hercules JS,3.10,3.70,1.95,2.80,2.5,1.35
193,JJK  Narpes Kraft,1.13,6.50,14.0,3.45,2.5,1.23
194,Kajaanin Haka  RoPS,2.10,3.80,2.65,3.10,2.5,1.29
195,Komeetat  VIFK,5.00,4.35,1.45,2.90,2.5,1.33
196,OLS Oulu  OTP,1.68,3.90,3.90,2.60,2.5,1.40
197,Vaajakoski  JBK,2.80,3.45,2.15,2.50,2.5,1.42
198,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
199,BastiaBorgo  Versailles,4.25,3.35,1.90,1.73,2.5,2.12
200,Bourg en Bresse  Sedan,1.73,3.55,5.00,1.75,2.5,2.05
201,Dunkerque  Stade Briochin,2.05,3.30,3.75,1.63,2.5,2.30
202,Le Mans  Avranches,1.68,3.95,4.85,2.12,2.5,1.73
203,Le Puy  Red Star,3.45,3.15,2.25,1.63,2.5,2.30
204,Martigues  Paris 13 Atl.,2.10,3.15,3.80,1.68,2.5,2.20
