,Unnamed: 0_x,teams_x,1_soc,X_soc,2_soc,under_soc,goals_soc,over_soc,teams_matched,score,Unnamed: 0_y,teams_y,1_star,X_star,2_star,under_star,goals_star,over_star
31,69,JZ Trier RW Koblenz,2.0,3.55,3.25,2.05,2.5,1.7,Eintracht Trier  TuS RW Koblenz,69,328,Eintracht Trier  TuS RW Koblenz,2.00,3.45,3.25,1.99,2.5,1.70
32,70,JZ Ulm 1846 Balingen,1.6,3.9,5.05,1.93,2.5,1.77,Ulm  TSG Balingen,72,331,Ulm  TSG Balingen,1.57,3.75,5.15,1.93,2.5,1.75
33,71,S BSV Rehden Drochtersen/Assel,3.1,3.55,2.1,1.97,2.5,1.75,Schwarz-Weis Rehden  Drochtersen/Assel,78,300,Schwarz-Weis Rehden  Drochtersen/Assel,2.95,3.50,2.08,2.02,2.5,1.66
34,72,SI Hertha II Germania H.,1.38,4.65,6.9,2.3,2.5,1.55,Hertha II  Ger. Halberstadt,62,319,Hertha II  Ger. Halberstadt,1.34,4.60,7.25,2.3,2.5,1.53
35,73,SI Lok. Leipzig Erfurt,2.2,3.4,2.95,2.1,2.5,1.65,Lokomotive Leipzig  RW Erfurt,78,320,Lokomotive Leipzig  RW Erfurt,2.13,3.50,2.95,2.14,2.5,1.61
36,74,SI Viktoria Berlin BFC Dynamo,3.2,3.4,2.1,1.9,2.5,1.8,Viktoria Berlin  BFC Dynamo,95,321,Viktoria Berlin  BFC Dynamo,3.15,3.35,2.08,1.91,2.5,1.76
37,76,JG FBK Balkan Rosengard,4.35,3.9,1.67,2.42,2.5,1.5,Groningen  AZ Alkmaar,51,430,Groningen  AZ Alkmaar,4.80,3.70,1.75,1.93,2.5,1.88
38,79,B Aschaffenburg Turkgucu Munchen,2.55,3.3,2.55,2.25,2.5,1.57,V. Aschaffenburg  Turkgucu Munchen,94,292,V. Aschaffenburg  Turkgucu Munchen,2.35,3.55,2.55,2.25,2.5,1.54
39,80,B Augsburg II Hankofen-Hailing,1.9,3.7,3.5,2.3,2.5,1.55,Augsburg II  Hankofen-Hailing,97,293,Augsburg II  Hankofen-Hailing,1.83,3.75,3.55,2.3,2.5,1.52
40,81,B Buchbach Pipinsried,2.75,3.15,2.45,1.7,2.5,2.02,Buchbach  FC Pipinsried,88,294,Buchbach  FC Pipinsried,2.75,3.10,2.4,1.63,2.5,2.11
41,82,B Burghausen Aubstadt,2.5,3.5,2.5,2.35,2.5,1.52,Burghausen  TSV Aubstadt,86,295,Burghausen  TSV Aubstadt,2.25,3.60,2.65,2.35,2.5,1.51
42,83,B Heimstetten Wurzburger K.,7.0,5.4,1.32,3.1,2.5,1.32,Heimstetten  Wurzburger Kickers,86,296,Heimstetten  Wurzburger Kickers,6.50,4.95,1.34,3.0,2.5,1.32
43,84,B Illertissen Nurnberg II,3.2,3.7,2.0,2.3,2.5,1.55,Illertissen  Nurnberg II,96,297,Illertissen  Nurnberg II,3.30,3.70,1.92,2.35,2.5,1.51
44,85,B Schweinfurt Eichstatt,1.6,4.0,4.7,2.42,2.5,1.5,Schweinfurt  Eichstätt,93,291,Schweinfurt  Eichstätt,1.59,4.05,4.5,2.5,2.5,1.45
45,86, Aalborg Odense,2.15,3.55,3.2,1.97,2.5,1.75,Bourg Péronnas  Sedan,55,246,Bourg Péronnas  Sedan,1.66,3.45,4.8,1.73,2.5,1.96
46,87, Vilnius BFA Minija Kretinga,1.6,3.85,4.35,2.45,2.5,1.48,Triestina  Virtus Verona,56,398,Triestina  Virtus Verona,1.87,2.90,4.05,1.41,2.5,2.50
47,88, Aue Meppen,2.1,3.5,3.35,1.95,2.5,1.77,Aue  Meppen,100,278,Aue  Meppen,2.00,3.50,3.4,1.96,2.5,1.79
48,91,-Z Wolfsburg W Leverkusen W,1.12,7.7,16.3,3.55,2.5,1.25,Wolfsburg (W)  B. Leverkusen (W),92,370,Wolfsburg (W)  B. Leverkusen (W),1.09,7.00,13.5,5.0,2.5,1.22
49,92, Wiener SK Mauerwerk,1.88,3.75,3.2,2.55,2.5,1.45,Wiener SK  Mauerwerk,100,511,Wiener SK  Mauerwerk,1.71,3.85,3.5,2.45,2.5,1.43
50,93, Traiskirchen TWL Elektra,2.7,3.3,2.3,1.97,2.5,1.75,Traiskirchen  ASK Elektra,83,510,Traiskirchen  ASK Elektra,2.75,3.30,2.25,1.94,2.5,1.71
51,94, Vocklamarkt WSC Hertha,11.1,5.9,1.18,2.85,2.5,1.37,Un. Vocklamarkt  WSC Herta Wels,82,505,Un. Vocklamarkt  WSC Herta Wels,9.75,5.80,1.2,5.0,2.5,1.38
52,95,Z VV Alkmaar W Excelsior W,1.8,4.1,3.5,2.85,2.5,1.37,VV Alkmaar (W)  Excelsior (W),96,450,VV Alkmaar (W)  Excelsior (W),1.79,4.10,3.35,3.05,2.5,1.32
53,96,Z Zwolle W Fortuna Sittard W,3.6,4.0,1.8,2.6,2.5,1.45,PEC Zwolle (W)  Fortuna Sittard (W),90,451,PEC Zwolle (W)  Fortuna Sittard (W),3.80,4.00,1.71,2.5,2.5,1.44
54,97,S Hannover II Hildesheim,1.85,3.75,3.65,2.1,2.5,1.65,Hannover II  Borussia 06 Hildesheim,76,301,Hannover II  Borussia 06 Hildesheim,1.77,3.75,3.65,2.19,2.5,1.55
55,98,Z Oberhausen Duren,2.05,3.7,3.1,2.2,2.5,1.6,Oberhausen  Duren,94,310,Oberhausen  Duren,1.96,3.60,3.25,2.19,2.5,1.58
56,99, Drassburg Kremser SC,2.2,3.75,2.6,2.75,2.5,1.4,Drassburg  Kremser SC,100,509,Drassburg  Kremser SC,1.95,3.70,2.75,2.6,2.5,1.38
57,100, Weiz Gleisdorf 09,2.75,3.55,2.15,2.22,2.5,1.58,Weiz  Gleisdorf,90,504,Weiz  Gleisdorf,2.65,3.55,2.22,2.23,2.5,1.53
58,101, Kalsdorf Treibach,1.9,3.9,3.1,2.85,2.5,1.37,Kalsdorf  Treibach Al.,92,503,Kalsdorf  Treibach Al.,1.91,3.90,2.9,2.85,2.5,1.32
59,102, DSC Bad Gleichenberg,2.3,3.55,2.55,2.48,2.5,1.47,Deutschlandsberger  Bad Gleichenberg,73,502,Deutschlandsberger  Bad Gleichenberg,2.08,3.80,2.75,2.5,2.5,1.43
60,103, Martigues Paris 13 Atletico,1.95,3.15,3.9,1.6,2.5,2.18,Martigues  Paris 13 Atletico,100,243,Martigues  Paris 13 Atletico,1.95,3.15,3.75,1.59,2.5,2.16
61,104, Nancy Cholet,1.8,3.5,4.1,1.8,2.5,1.9,Nancy  Cholet,100,245,Nancy  Cholet,1.76,3.40,4.25,1.77,2.5,1.91
62,105, Orleans Villefranche,2.3,3.15,2.95,1.65,2.5,2.08,Orleans  Villefranche,100,244,Orleans  Villefranche,2.40,3.10,3.0,1.62,2.5,2.20
63,106,Z Feyenoord W Telstar W,1.18,6.7,11.4,3.2,2.5,1.3,Feyenoord (W)  Telstar (W),95,452,Feyenoord (W)  Telstar (W),1.20,5.60,8.5,0.0,2.5,1.29
64,108, Yverdon Aarau,2.45,3.65,2.5,2.43,2.5,1.5,Yverdon  Aarau,100,523,Yverdon  Aarau,2.30,3.70,2.6,2.4,2.5,1.51
65,109, E. Virton Club Brugge B,2.3,3.3,2.85,1.97,2.5,1.75,Excelsior Virton  Club Brugge U23,74,465,Excelsior Virton  Club Brugge U23,2.22,3.45,3.0,2.01,2.5,1.75
66,110, Genk B Dender,2.05,3.6,3.15,2.05,2.5,1.7,Genk U23  Dender,79,464,Genk U23  Dender,1.95,3.50,3.6,2.08,2.5,1.70
67,111, Almere City Roda,2.5,3.35,2.75,1.85,2.5,1.85,Almere City  Roda,100,447,Almere City  Roda,2.35,3.25,2.9,1.97,2.5,1.78
68,112, De Graafschap Jong AZ Alkmaar,1.52,4.5,5.5,2.32,2.5,1.55,De Graafschap  Jong AZ Alkmaar,100,439,De Graafschap  Jong AZ Alkmaar,1.52,4.05,5.7,2.35,2.5,1.55
69,113, Den Bosch Heracles,4.9,4.15,1.62,2.23,2.5,1.6,Den Bosch  Heracles Almelo,84,441,Den Bosch  Heracles Almelo,5.15,3.80,1.62,2.16,2.5,1.65
70,114, Den Haag Jong PSV,1.9,3.85,3.6,2.23,2.5,1.6,Den Haag  Jong PSV,100,440,Den Haag  Jong PSV,1.87,3.55,3.8,2.24,2.5,1.60
71,115, Eindhoven Dordrecht,1.48,4.5,6.0,2.35,2.5,1.55,Eindhoven  Dordrecht,100,445,Eindhoven  Dordrecht,1.46,4.20,6.5,2.3,2.5,1.57
72,116,1 Mezokovesd Paks,2.3,3.75,2.75,2.5,2.5,1.48,Nimes  Paris FC,52,235,Nimes  Paris FC,3.25,3.20,2.23,1.74,2.5,2.11
