,Unnamed: 0_x,teams_x,1_adm,X_adm,2_adm,under_adm,goals_adm,over_adm,teams_matched,score,Unnamed: 0_y,teams_y,1_star,X_star,2_star,under_star,goals_star,over_star
38,98,Steinbach Haiger Aalen,1.65,4.05,4.20,2.35,2.5,1.53,Steinbach Haiger  Aalen,100,330,Steinbach Haiger  Aalen,1.64,3.85,4.4,2.25,2.5,1.55
39,99,Viktoria Berlin BFC Dynamo,3.10,3.40,2.12,1.89,2.5,1.81,Viktoria Berlin  BFC Dynamo,100,321,Viktoria Berlin  BFC Dynamo,3.15,3.35,2.08,1.91,2.5,1.76
40,101,Bastia Borgo Versailles,4.25,3.30,1.89,1.69,2.5,2.07,Bastia-Borgo  Versailles,100,247,Bastia-Borgo  Versailles,4.20,3.35,1.85,1.68,2.5,2.10
41,102,Bourg en Bresse Sedan,1.72,3.50,5.00,1.74,2.5,1.99,Bourg Péronnas  Sedan,70,246,Bourg Péronnas  Sedan,1.66,3.45,4.8,1.73,2.5,1.96
42,103,Dunkerque Stade Briochin,2.00,3.20,3.90,1.62,2.5,2.18,Dunkerque  Stade Briochin,100,249,Dunkerque  Stade Briochin,1.89,3.15,4.0,1.58,2.5,2.19
43,104,FC Martigues Paris 13 Atletico,2.05,3.15,3.75,1.62,2.5,2.18,Martigues  Paris 13 Atletico,95,243,Martigues  Paris 13 Atletico,1.95,3.15,3.75,1.59,2.5,2.16
44,105,Feyenoord Rotterdam W SC Telstar VVNH W,1.15,7.30,12.00,3.2,2.5,1.29,Feyenoord (W)  Telstar (W),70,452,Feyenoord (W)  Telstar (W),1.20,5.60,8.5,0.0,2.5,1.29
45,106,Hannover 2 Hildesheim,1.77,3.75,3.90,2.28,2.5,1.56,Hannover II  Borussia 06 Hildesheim,73,301,Hannover II  Borussia 06 Hildesheim,1.77,3.75,3.65,2.19,2.5,1.55
46,107,Le Mans Avranches,1.65,3.75,5.10,2.1,2.5,1.67,Le Mans  Avranches,100,248,Le Mans  Avranches,1.64,3.75,4.75,2.04,2.5,1.69
47,108,Le Puy Red Star,3.45,3.05,2.20,1.59,2.5,2.22,Le Puy  Red Star 93,91,242,Le Puy  Red Star 93,3.50,3.10,2.05,1.58,2.5,2.19
48,109,Nancy Cholet,1.81,3.50,4.30,1.79,2.5,1.93,Nancy  Cholet,100,245,Nancy  Cholet,1.76,3.40,4.25,1.77,2.5,1.91
49,110,Oberhausen Duren,2.10,3.55,3.00,2.22,2.5,1.59,Oberhausen  Duren,100,310,Oberhausen  Duren,1.96,3.60,3.25,2.19,2.5,1.58
50,111,Orleans Villefranche,2.50,3.10,2.88,1.62,2.5,2.18,Orleans  Villefranche,100,244,Orleans  Villefranche,2.40,3.10,3.0,1.62,2.5,2.20
51,112,Traiskirchen TWL Elektra,2.75,3.15,2.45,1.9,2.5,1.8,Traiskirchen  ASK Elektra,83,510,Traiskirchen  ASK Elektra,2.75,3.30,2.25,1.94,2.5,1.71
52,113,VV Alkmaar W Excelsior W,1.75,4.15,3.60,2.9,2.5,1.36,VV Alkmaar (W)  Excelsior (W),100,450,VV Alkmaar (W)  Excelsior (W),1.79,4.10,3.35,3.05,2.5,1.32
53,114,Vocklamarkt WSC Wels,15.00,6.80,1.14,3.0,2.5,1.33,Un. Vocklamarkt  WSC Herta Wels,82,505,Un. Vocklamarkt  WSC Herta Wels,9.75,5.80,1.2,5.0,2.5,1.38
54,115,Wiener Sport Club Mauerwerk,1.92,3.80,3.25,2.55,2.5,1.46,Wiener SK  Mauerwerk,78,511,Wiener SK  Mauerwerk,1.71,3.85,3.5,2.45,2.5,1.43
55,116,Yverdon Aarau,2.45,3.70,2.55,2.45,2.5,1.5,Yverdon  Aarau,100,523,Yverdon  Aarau,2.30,3.70,2.6,2.4,2.5,1.51
56,117,Zwolle W Fortuna Sittard W,3.85,3.90,1.74,2.6,2.5,1.44,PEC Zwolle (W)  Fortuna Sittard (W),93,451,PEC Zwolle (W)  Fortuna Sittard (W),3.80,4.00,1.71,2.5,2.5,1.44
57,118,Almere City Roda,2.45,3.35,2.80,1.93,2.5,1.79,Almere City  Roda,100,447,Almere City  Roda,2.35,3.25,2.9,1.97,2.5,1.78
58,119,Aston Villa U21 West Bromwich Albion U21,1.96,3.95,3.05,3.25,2.5,1.29,Aston Villa U21  West Bromwich U21,90,171,Aston Villa U21  West Bromwich U21,1.87,4.05,3.05,3.0,2.5,1.30
59,120,Brighton & H. U21 Tottenham U21,1.94,3.70,3.25,2.75,2.5,1.4,Brighton U21  Tottenham U21,96,170,Brighton U21  Tottenham U21,1.82,3.90,3.15,2.65,2.5,1.36
60,121,De Graafschap AZ Alkmaar 2,1.55,4.35,5.40,2.4,2.5,1.52,De Graafschap  Jong AZ Alkmaar,87,439,De Graafschap  Jong AZ Alkmaar,1.52,4.05,5.7,2.35,2.5,1.55
61,122,Den Bosch Heracles,4.90,4.05,1.65,2.3,2.5,1.55,Den Bosch  Heracles Almelo,84,441,Den Bosch  Heracles Almelo,5.15,3.80,1.62,2.16,2.5,1.65
62,123,Den Haag PSV 2,1.93,3.70,3.65,2.28,2.5,1.57,Den Haag  Jong PSV,77,440,Den Haag  Jong PSV,1.87,3.55,3.8,2.24,2.5,1.60
63,124,Eindhoven Dordrecht,1.48,4.35,6.50,2.22,2.5,1.59,Eindhoven  Dordrecht,100,445,Eindhoven  Dordrecht,1.46,4.20,6.5,2.3,2.5,1.57
64,125,Fulham U21 Everton U21,1.90,3.75,3.35,2.5,2.5,1.47,Fulham U21  Everton U21,100,172,Fulham U21  Everton U21,1.74,3.95,3.6,2.45,2.5,1.44
65,126,Helmond Oss,2.05,3.35,3.60,1.88,2.5,1.83,Helmond Sport  FC Oss,71,442,Helmond Sport  FC Oss,1.96,3.35,3.75,1.95,2.5,1.79
66,127,Luebeck Atlas Delmenhorst,1.52,4.20,5.10,2.07,2.5,1.67,Lubeck  Atlas Delmenhorst,98,302,Lubeck  Atlas Delmenhorst,1.47,4.05,5.6,2.0,2.5,1.67
67,128,Maastricht Willem II,5.60,4.50,1.52,2.3,2.5,1.55,MVV  Willem II,67,443,MVV  Willem II,5.30,3.90,1.58,2.26,2.5,1.60
68,130,NAC Breda Venlo,1.76,3.80,4.40,2.3,2.5,1.56,NAC Breda  VVV-Venlo,88,444,NAC Breda  VVV-Venlo,1.72,3.70,4.4,2.3,2.5,1.58
69,131,Neusiedl Wiener Viktoria,1.74,4.40,3.50,2.9,2.5,1.35,Neusiedl  Wiener Viktoria,100,512,Neusiedl  Wiener Viktoria,1.73,3.90,3.65,2.65,2.5,1.38
70,132,PEC Zwolle Ajax 2,1.51,4.70,5.45,3.5,2.5,1.26,PEC Zwolle  Jong Ajax,81,446,PEC Zwolle  Jong Ajax,1.49,4.55,5.4,3.4,2.5,1.29
71,135,Sporting Gil Vicente,1.33,5.30,9.50,2.3,2.5,1.62,Sporting L.  Gil Vicente,95,474,Sporting L.  Gil Vicente,1.31,4.95,9.75,2.25,2.5,1.65
72,136,Telstar Utrecht 2,1.98,3.55,3.65,2.0,2.5,1.73,Telstar  Jong Utrecht,86,448,Telstar  Jong Utrecht,1.93,3.40,3.75,2.0,2.5,1.75
73,139,Wiener Neustadt Marchfeld,5.60,4.80,1.42,2.9,2.5,1.36,SC Wiener Neustadter  Marchfeld,91,513,SC Wiener Neustadter  Marchfeld,4.75,4.35,1.41,2.8,2.5,1.33
74,141,Biskra MC Magra,1.80,3.20,4.90,1.41,2.5,2.75,Biskra  Magra,89,576,Biskra  Magra,1.76,3.15,4.75,1.42,2.5,2.60
75,142,Leeds United U21 Stoke City U21,1.43,4.85,5.40,3.4,2.5,1.27,Leeds U21  Stoke U21,76,169,Leeds U21  Stoke U21,1.45,4.70,4.9,3.2,2.5,1.27
76,143,Middlesbrough U21 Newcastle United U21,1.76,4.10,3.60,3.35,2.5,1.28,Middlesbrough U21  Newcastle U21,90,173,Middlesbrough U21  Newcastle U21,1.74,4.20,3.4,3.1,2.5,1.28
77,144,Norwich City U21 Derby County U21,1.51,4.45,4.95,3.7,2.5,1.24,Norwich U21  Derby County U21,92,168,Norwich U21  Derby County U21,1.53,4.45,4.05,3.35,2.5,1.23
78,145,Alianza Atletico U. de Deportes,2.60,3.15,2.75,1.72,2.5,2.03,Alcoyano  Atletico Baleares,64,212,Alcoyano  Atletico Baleares,2.30,3.00,2.95,1.54,2.5,2.22
79,146,Lausanne Wil,1.57,4.25,5.00,2.55,2.5,1.46,Lausanne  Wil,100,524,Lausanne  Wil,1.55,4.25,5.05,2.45,2.5,1.51
80,147,Thun Xamax,1.63,4.10,4.70,2.5,2.5,1.49,Thun  Xamax,100,525,Thun  Xamax,1.60,4.10,4.55,2.4,2.5,1.51
81,149,Bayern Munich Bayer Leverkusen,1.40,5.75,7.00,3.65,2.5,1.31,Bayern München  B. Leverkusen,86,258,Bayern München  B. Leverkusen,1.38,5.35,6.5,3.55,2.5,1.30
82,152,Cosenza Como,2.65,3.20,2.75,1.72,2.5,2.08,Cosenza  Como,100,383,Cosenza  Como,2.70,3.00,2.7,1.66,2.5,2.15
83,160,St. Polten Amstetten,2.25,3.50,3.00,2.15,2.5,1.64,St. Polten  Amstetten,100,494,St. Polten  Amstetten,2.07,3.55,3.3,2.08,2.5,1.76
84,162,Mansfield Hartlepool,1.42,4.55,7.30,2.02,2.5,1.78,Mansfield  Hartlepool,100,111,Mansfield  Hartlepool,1.38,4.45,8.5,1.96,2.5,1.85
